"","program","program_link","station_name","mea_contribution","address","city","state","zipcode","location","available_to_the_public","lat","long"
"1","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","King Farm Village - Regency",NA,"800 Pleasant Dr","Rockville","MD",20850,"800 Pleasant Dr
Rockville, Maryland 20850
(39.11373596600049, -77.17123692299964)","Public","39.11373596600049"," -77.17123692299964"
"2","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","Community College of Baltimore County (CCBC)",12796.3,"800 S Rolling","Catonsville","MD",21228,"800 S Rolling
Catonsville, Maryland 21228
(39.256481935000465, -76.73002548599965)","Public","39.256481935000465"," -76.73002548599965"
"3","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Harper's Choice Village Center",NA,"5440 Old Tucker Row","Columbia","MD",21044,"5440 Old Tucker Row
Columbia, Maryland 21044
(39.222329423000474, -76.88737999999967)","Public","39.222329423000474"," -76.88737999999967"
"4","Electric Vehicle Infrastructure Program (EVIP)","http://energy.maryland.gov/Transportation/electric.html","West Street Garage",14929.56,"40 E West St","Baltimore","MD",21230,"40 E West St
Baltimore, Maryland 21230
(39.27590769200049, -76.61318340799966)","Public","39.27590769200049"," -76.61318340799966"
"5","E-85 Refueling Stations","http://energy.maryland.gov/Transportation/e85Refueling.html","Texaco",NA,"6400 New Hampshire Ave","Takoma Park","MD",20912,"6400 New Hampshire Ave
Takoma Park, Maryland 20912
(38.967215885000485, -77.00150465599967)","Public","38.967215885000485"," -77.00150465599967"
"6","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Win Kelly Dealership",NA,"12421 Auto Dr","Clarksville","MD",21029,"12421 Auto Dr
Clarksville, Maryland 21029
(39.21058276700046, -76.94179073399965)","Public","39.21058276700046"," -76.94179073399965"
"7","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",199.8,"","Silver Spring","MD",20903,"
Silver Spring, Maryland 20903
(39.010853505000455, -76.98247973299965)","","39.010853505000455"," -76.98247973299965"
"8","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","eVgo - FedEx Field Convenience Station",NA,"1600 FedEx Way","Landover","MD",20785,"1600 FedEx Way
Landover, Maryland 20785
(38.909088486000485, -76.86362613099965)","Public","38.909088486000485"," -76.86362613099965"
"9","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",144.22,"","Reisterstown","MD",21136,"
Reisterstown, Maryland 21136
(39.46183031600049, -76.81510577599965)","","39.46183031600049"," -76.81510577599965"
"10","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","University of Maryland - College Park - Turner Hall Visitor Center",NA,"1201 Turner Hall","College Park","MD",20742,"1201 Turner Hall
College Park, Maryland 20742
(38.985862116000476, -76.93695694999963)","Public","38.985862116000476"," -76.93695694999963"
"11","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"6300 Crain Hwy","La Plata","MD",21646,"6300 Crain Hwy
La Plata, Maryland 21646
(38.53867551500048, -76.98388583399964)","Public","38.53867551500048"," -76.98388583399964"
"12","Residential Electric Vehicle Supply Equipment Tax Credit Program","http://energy.maryland.gov/Transportation/evse/","",169.8,"","Olney","MD",20832,"
Olney, Maryland 20832
(39.15280049000046, -77.07121777999964)","","39.15280049000046"," -77.07121777999964"
"13","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","MedImmune Ventures - Visitor's Parking Lot",NA,"1 Medimmune Way","Gaithersburg","MD",20878,"1 Medimmune Way
Gaithersburg, Maryland 20878
(39.12622556500048, -77.23168563299964)","Public","39.12622556500048"," -77.23168563299964"
"14","Electric Vehicle Charging Stations","http://www.afdc.energy.gov/locator/stations/","Walgreens",NA,"8050 Liberty Rd","Baltimore","MD",21244,"8050 Liberty Rd
Baltimore, Maryland 21244
(39.353543216000446, -76.75761042799968)","Public","39.353543216000446"," -76.75761042799968"
